property,version,truth,footnote-md
always-reachable-redeem,v1,1,
always-reachable-redeem,v2,1,
always-reachable-redeem,v3,0,
auth-in-agree,v1,1,
auth-in-agree,v2,0,
auth-in-agree,v3,1,
dispute-if-agree,v1,1,
dispute-if-agree,v2,1,
dispute-if-agree,v3,1,
dispute-onlyif-agree,v1,1,
dispute-onlyif-agree,v2,1,
dispute-onlyif-agree,v3,1,
no-send-in-agree,v1,1,
no-send-in-agree,v2,0,
no-send-in-agree,v3,1,
auth-in-dispute,v1,1,
auth-in-dispute,v2,1,
auth-in-dispute,v3,1,
arbitrate-send,v1,1,
arbitrate-send,v2,1,
arbitrate-send,v3,1,
redeem-send,v1,1,
redeem-send,v2,1,
redeem-send,v3,1,
recipient-buyer-or-seller,v1,1,
recipient-buyer-or-seller,v2,1,
recipient-buyer-or-seller,v3,1,
