property,version,truth,footnote-md
fair-split,v1,1,
fair-split-for-v3,v1,0,
funds-get-transferred,v1,0,
non-zero-payees,v1,1,
positive-shares,v1,1,
releasable-balance-check,v1,1,
releasable-sum-balance,v1,0,
release-release-revert,v1,1,
swappable-call-order,v1,0,
zero-dust,v1,0,
fair-split,v2,1,
fair-split-for-v3,v2,0,
funds-get-transferred,v2,0,
non-zero-payees,v2,1,
positive-shares,v2,1,
releasable-balance-check,v2,1,
releasable-sum-balance,v2,0,
release-release-revert,v2,1,
swappable-call-order,v2,0,
zero-dust,v2,0,
fair-split,v3,1,
fair-split-for-v3,v3,1,
funds-get-transferred,v3,0,
non-zero-payees,v3,1,
positive-shares,v3,1,
releasable-balance-check,v3,1,
releasable-sum-balance,v3,0,
release-release-revert,v3,1,
swappable-call-order,v3,0,
zero-dust,v3,0,
